BATCH NO: 1.1 (PAL01,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50],Zn_pct[AAS42S|LDL:0.001|UDL:5]
PAL01760,1.51,1.51,-,-,-,-,-,-,-,-,-,-,<2,0.68,<3,24,<0.5,<5,>15,<1,<1,1,3.7,0.54,0.20,4.0,9,11.7,650,<1,0.06,1,<0.01,8,0.08,<5,0.5,<10,35.9,0.01,<2,<10,3.2,40,11.7,-,-,-
PAL01761,1.08,1.08,-,-,-,-,-,-,-,-,-,-,<2,4.20,7,687,0.9,<5,3.49,<1,3,11,3.7,1.26,2.15,11.0,31,0.31,702,<1,0.72,10,0.03,12,0.03,<5,2.7,<10,143,0.09,21,<10,10.0,12,35.0,-,-,-
PAL01762,1.87,1.87,-,-,-,-,-,-,-,-,-,-,<2,4.35,10,720,1.0,<5,3.00,<1,4,12,3.3,1.31,2.15,12.8,33,0.38,617,<1,0.75,12,0.04,11,0.03,<5,2.7,<10,146,0.10,20,<10,10.5,14,36.7,-,-,-
PAL01763,1.92,1.92,-,-,-,-,-,-,-,-,-,-,<2,4.52,42,655,1.0,<5,3.64,<1,4,9,5.4,1.20,2.20,12.2,34,0.39,705,<1,0.77,12,0.04,12,0.03,<5,2.7,<10,146,0.09,18,<10,10.3,15,35.1,-,-,-
PAL01764,1.75,1.75,-,-,-,-,-,-,-,-,-,-,<2,4.46,10,518,1.0,<5,3.46,<1,4,10,4.0,1.34,2.10,12.1,32,0.39,688,<1,0.76,13,0.04,10,0.02,<5,2.9,<10,130,0.09,19,<10,11.0,15,40.8,-,-,-
PAL01765,1.37,1.37,-,-,-,-,-,-,-,-,-,-,<2,4.57,11,429,1.0,<5,3.91,<1,4,12,5.5,1.27,2.16,14.4,31,0.29,785,<1,0.82,11,0.04,14,0.02,<5,3.5,<10,136,0.12,21,<10,12.4,13,50.6,-,-,-
PAL01766,1.55,1.55,-,-,-,-,-,-,-,-,-,-,<2,4.66,14,278,1.2,<5,3.65,<1,5,21,4.1,1.70,2.02,19.3,32,0.28,706,<1,0.83,15,0.05,33,0.01,<5,4.4,<10,119,0.15,31,<10,14.4,14,64.6,-,-,-
PAL01767,2.11,2.11,-,-,-,-,-,-,-,-,-,-,<2,4.42,9,296,1.4,<5,3.26,<1,6,15,4.1,1.62,2.00,14.7,34,0.30,707,<1,0.89,15,0.04,8,0.01,<5,4.4,<10,111,0.13,32,<10,12.2,16,46.0,-,-,-
PAL01768,1.57,1.57,-,-,-,-,-,-,-,-,-,-,<2,4.34,6,385,1.2,<5,2.13,<1,10,12,4.0,1.81,1.98,10.7,35,0.64,580,<1,0.76,24,0.04,9,0.02,<5,3.0,<10,108,0.10,21,<10,9.3,37,36.8,-,-,-
*DUP-PAL01768,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,4.40,6,382,1.2,<5,2.09,<1,10,12,3.6,1.81,1.98,10.9,35,0.63,571,<1,0.76,23,0.04,10,0.02,<5,2.9,<10,106,0.10,21,<10,9.0,37,36.7,-,-,-
PAL01769,1.01,1.01,500.0,76.00,24.00,380.0,120.0,20.0,87.00,13.00,17.4,2.6,<2,1.23,21,44,<0.5,<5,>15,<1,3,10,5.1,0.72,0.51,6.2,27,10.1,221,32,0.18,19,0.01,42,1.91,<5,1.8,<10,145,0.05,22,<10,3.4,87,13.3,-,-,-
PAL01770,1.51,1.51,-,-,-,-,-,-,-,-,-,-,<2,0.62,10,22,<0.5,<5,>15,<1,2,3,2.9,0.67,0.27,4.0,28,11.3,188,12,0.13,12,<0.01,14,0.24,<5,0.8,<10,118,0.03,10,<10,2.4,8,8.5,-,-,-
PAL01771,0.43,0.43,-,-,-,-,-,-,-,-,-,-,<2,0.68,6,23,<0.5,<5,>15,<1,2,3,3.4,0.84,0.29,4.5,31,11.7,192,9,0.16,14,<0.01,16,0.52,<5,1.0,<10,125,0.03,10,<10,2.8,5,9.4,-,-,-
PAL01772,0.31,0.31,-,-,-,-,-,-,-,-,-,-,<2,0.98,12,32,<0.5,<5,>15,<1,4,6,30.4,0.91,0.36,5.9,36,11.8,253,2,0.18,25,0.01,26,0.51,<5,1.3,<10,135,0.04,13,<10,3.6,6,12.6,-,-,-
PAL01773,1.41,1.41,-,-,-,-,-,-,-,-,-,-,<2,0.60,<3,18,<0.5,<5,>15,<1,<1,<1,2.2,0.47,0.16,3.8,10,11.9,641,<1,0.04,1,<0.01,40,0.03,<5,0.6,<10,35.9,<0.01,<2,<10,3.4,42,10.7,-,-,-
PAL01774,0.15,0.15,-,-,-,-,-,-,-,-,-,-,<2,2.03,10,4912,0.8,<5,14.9,23,3,10,40.1,1.14,0.85,10.1,42,9.23,7499,<1,0.20,20,0.02,809,0.72,<5,2.9,<10,307,0.08,21,11,6.7,7589,24.5,-,-,-
PAL01775,0.20,0.20,-,-,-,-,-,-,-,-,-,-,<2,3.42,22,974,1.3,<5,12.6,19,6,18,52.6,1.39,1.40,15.0,57,7.82,6913,<1,0.20,26,0.03,1730,0.60,<5,4.9,<10,175,0.13,36,<10,8.6,5264,37.4,-,-,-
PAL01776,0.21,0.21,-,-,-,-,-,-,-,-,-,-,<2,2.12,17,845,0.7,<5,>15,14,4,13,20.5,1.22,0.87,10.5,40,9.67,9141,<1,0.15,16,0.02,1475,0.43,<5,3.0,<10,162,0.08,24,<10,7.3,4201,24.9,-,-,-
PAL01777,0.23,0.23,-,-,-,-,-,-,-,-,-,-,<2,1.23,9,740,<0.5,<5,>15,15,2,8,11.9,1.02,0.50,7.1,28,9.93,>10000,<1,0.13,11,0.02,922,0.39,<5,1.8,<10,154,0.04,14,<10,5.8,4724,14.3,-,-,-
PAL01778,0.25,0.25,-,-,-,-,-,-,-,-,-,-,<2,2.05,13,1166,0.7,<5,>15,14,3,12,15.0,1.16,0.83,10.8,35,10.0,9377,<1,0.16,16,0.02,998,0.41,<5,3.0,<10,210,0.08,22,<10,7.2,4120,24.7,-,-,-
PAL01779,0.34,0.34,-,-,-,-,-,-,-,-,-,-,<2,2.29,13,1197,0.7,<5,>15,12,3,14,15.9,1.14,0.90,11.9,37,9.45,9129,<1,0.18,15,0.02,842,0.38,<5,3.0,<10,193,0.10,25,<10,7.3,3277,31.4,-,-,-
PAL01780,0.22,0.22,-,-,-,-,-,-,-,-,-,-,<2,1.74,7,2523,0.6,<5,>15,10,3,10,24.2,1.06,0.69,9.4,34,9.20,8529,<1,0.17,15,0.02,580,0.36,<5,2.3,<10,247,0.07,18,<10,6.4,3024,23.2,-,-,-
PAL01781,0.24,0.24,-,-,-,-,-,-,-,-,-,-,<2,1.69,7,1107,0.6,<5,>15,8,2,7,17.1,1.06,0.67,9.1,32,9.31,9462,<1,0.19,13,0.02,693,0.28,<5,2.3,<10,230,0.07,17,<10,6.9,2260,22.3,-,-,-
PAL01782,0.30,0.30,-,-,-,-,-,-,-,-,-,-,<2,3.44,22,825,1.3,<5,13.8,12,6,16,74.5,1.42,1.42,15.3,50,8.49,7798,<1,0.26,22,0.03,2409,0.48,<5,4.8,<10,253,0.13,34,<10,9.7,3047,36.9,-,-,-
PAL01783,0.26,0.26,-,-,-,-,-,-,-,-,-,-,<2,2.26,16,596,0.9,<5,>15,11,4,13,52.0,1.15,0.96,9.7,40,9.39,8258,<1,0.17,15,0.02,2493,0.38,<5,3.2,<10,210,0.08,24,<10,7.2,2845,22.6,-,-,-
PAL01784,0.30,0.30,-,-,-,-,-,-,-,-,-,-,<2,2.03,16,383,0.9,<5,>15,13,4,13,56.3,1.16,0.87,8.6,37,9.72,8741,<1,0.15,15,0.02,2234,0.40,<5,3.0,<10,191,0.07,20,<10,6.9,3477,18.6,-,-,-
PAL01785,0.31,0.31,-,-,-,-,-,-,-,-,-,-,<2,2.85,21,263,1.3,<5,14.3,10,5,14,113,1.28,1.21,10.8,43,8.80,7862,<1,0.19,18,0.03,3919,0.43,<5,4.1,<10,194,0.10,28,<10,7.8,2749,27.0,-,-,-
PAL01786,0.19,0.19,-,-,-,-,-,-,-,-,-,-,<2,3.17,24,191,1.3,<5,14.2,8,5,15,113,1.33,1.29,13.3,44,8.73,7841,<1,0.26,19,0.03,4566,0.52,<5,4.4,<10,183,0.12,32,<10,8.6,2566,35.0,-,-,-
PAL01787,0.23,0.23,-,-,-,-,-,-,-,-,-,-,<2,1.99,18,159,0.8,<5,>15,8,3,12,43.9,1.15,0.79,10.0,31,9.15,8970,<1,0.21,12,0.02,3673,0.49,<5,2.7,<10,161,0.08,21,<10,7.2,2651,24.5,-,-,-
PAL01788,0.32,0.32,-,-,-,-,-,-,-,-,-,-,2,2.72,21,165,1.0,<5,14.5,7,5,17,103,1.29,1.05,13.5,37,8.16,7531,<1,0.26,17,0.03,5510,1.31,<5,3.7,<10,231,0.11,27,<10,8.5,2424,32.4,-,-,-
PAL01789,0.34,0.34,500.0,76.00,24.00,380.0,120.0,20.0,85.00,15.00,17.0,3.0,2,3.85,29,167,1.6,<5,11.9,5,7,30,688,1.44,1.52,17.9,47,6.58,5663,<1,0.36,21,0.03,6785,1.67,<5,5.2,<10,241,0.15,37,<10,9.6,1433,45.6,-,-,-
PAL01790,0.30,0.30,-,-,-,-,-,-,-,-,-,-,3,4.59,37,217,2.0,<5,11.4,2,9,27,947,1.57,1.79,20.5,54,6.67,5889,<1,0.37,25,0.03,7559,1.04,<5,6.0,<10,229,0.18,44,<10,10.8,596,51.2,-,-,-
PAL01791,0.00,0.00,-,-,-,-,-,-,-,-,-,-,2,4.54,37,224,1.9,<5,11.7,2,9,25,916,1.61,1.71,19.6,52,6.71,5827,<1,0.37,27,0.03,7423,1.32,<5,5.8,<10,235,0.17,41,<10,10.6,662,54.3,-,-,-
PAL01792,0.42,0.42,-,-,-,-,-,-,-,-,-,-,3,3.26,32,227,1.5,<5,14.0,<1,8,19,943,1.52,1.34,14.4,44,8.26,6743,<1,0.26,23,0.03,8987,1.16,<5,4.4,<10,270,0.12,33,<10,9.2,124,33.4,-,-,-
PAL01793,0.46,0.46,-,-,-,-,-,-,-,-,-,-,<2,3.06,27,390,1.3,<5,13.2,<1,8,16,1247,1.46,1.21,13.8,39,7.87,6508,<1,0.27,22,0.03,1975,0.72,<5,4.1,<10,376,0.12,30,<10,8.6,283,34.2,-,-,-
PAL01794,0.38,0.38,-,-,-,-,-,-,-,-,-,-,<2,3.79,83,314,1.7,<5,12.3,<1,9,21,1534,1.61,1.56,17.8,45,7.36,5801,<1,0.33,24,0.03,113,0.73,6,5.2,<10,231,0.15,39,<10,10.7,53,43.6,-,-,-
PAL01795,0.43,0.43,-,-,-,-,-,-,-,-,-,-,2,4.70,248,319,2.2,<5,10.6,<1,14,25,2116,1.76,1.90,21.1,54,5.67,4912,<1,0.36,32,0.03,59,1.56,19,6.4,<10,213,0.18,45,<10,11.5,116,52.1,-,-,-
*DUP-PAL01795,0.00,0.00,-,-,-,-,-,-,-,-,-,-,3,4.43,271,353,2.5,<5,10.2,<1,16,25,2373,1.63,2.17,24.2,59,5.52,5568,<1,0.41,36,0.04,57,1.78,24,7.5,<10,220,0.21,52,<10,13.3,126,56.1,-,-,-
PAL01796,0.27,0.27,-,-,-,-,-,-,-,-,-,-,<2,5.63,57,626,2.5,<5,8.42,<1,17,36,1570,2.01,2.13,27.9,58,4.07,3626,<1,0.44,32,0.04,38,2.16,<5,7.4,<10,286,0.22,52,<10,13.1,42,78.3,-,-,-
PAL01797,0.17,0.17,-,-,-,-,-,-,-,-,-,-,>10,5.20,96,447,2.1,<5,8.07,<1,46,58,8479,2.25,1.94,27.9,51,4.12,4516,23,0.47,58,0.04,44,2.06,7,6.9,<10,207,0.20,112,<10,12.9,37,72.2,17,-,-
PAL01798,0.16,0.16,-,-,-,-,-,-,-,-,-,-,>10,3.60,166,476,1.3,<5,5.80,<1,80,32,>10000,1.33,1.37,15.1,37,2.89,5608,166,0.64,89,0.04,64,0.96,5,3.2,<10,215,0.09,183,<10,9.8,26,35.2,75,2.83,-
PAL01799,0.15,0.15,-,-,-,-,-,-,-,-,-,-,>10,3.93,265,188,1.6,<5,4.95,<1,91,48,>10000,1.59,1.56,19.6,35,2.28,5657,71,0.63,103,0.04,56,1.15,<5,3.7,<10,143,0.10,402,<10,12.4,36,38.5,74,4.40,-
PAL01800,-,-,-,-,-,-,-,-,-,-,-,-,7,6.81,798,219,1.4,<5,4.08,23,556,111,4456,5.64,1.57,18.3,18,1.95,874,174,2.42,452,0.05,4002,0.64,358,18.6,60,175,0.65,140,<10,2.9,3954,120,-,-,-
PAL01801,0.18,0.18,-,-,-,-,-,-,-,-,-,-,4,3.41,60,436,1.0,<5,2.26,<1,14,5,2666,0.50,1.85,6.5,30,0.40,823,4,0.63,11,0.03,27,0.44,<5,1.2,<10,107,0.05,25,<10,6.3,16,20.9,-,-,-
PAL01802,0.73,0.73,-,-,-,-,-,-,-,-,-,-,<2,3.54,17,604,1.0,<5,2.68,<1,4,5,214,0.64,1.77,5.7,35,0.25,223,<1,0.54,7,0.02,20,1.39,<5,1.1,<10,134,0.05,8,<10,4.2,17,21.1,-,-,-
PAL01803,0.71,0.71,-,-,-,-,-,-,-,-,-,-,<2,3.64,6,378,1.0,<5,4.19,<1,4,6,643,0.60,1.64,7.4,33,0.79,1010,<1,0.56,11,0.03,16,2.04,<5,1.1,<10,193,0.04,11,<10,4.9,14,22.3,-,-,-
PAL01804,0.56,0.56,-,-,-,-,-,-,-,-,-,-,<2,3.32,28,364,0.9,<5,1.70,<1,2,6,160,0.79,1.73,7.2,37,0.33,615,<1,0.62,6,0.03,15,0.34,<5,1.0,<10,96.0,0.04,9,<10,5.0,19,22.2,-,-,-
PAL01805,0.92,0.92,-,-,-,-,-,-,-,-,-,-,<2,3.60,21,295,1.0,<5,1.90,<1,2,8,156,0.66,1.68,10.2,33,0.37,682,<1,0.68,7,0.03,15,0.50,<5,1.4,<10,90.9,0.06,12,<10,6.0,19,32.6,-,-,-
PAL01806,1.04,1.04,-,-,-,-,-,-,-,-,-,-,<2,3.68,10,400,0.9,<5,8.21,<1,4,12,32.1,1.09,1.70,7.7,40,4.19,5824,<1,0.71,10,0.04,24,0.04,<5,1.0,<10,136,0.03,8,<10,9.2,26,20.7,-,-,-
PAL01807,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,2.76,14,405,0.7,<5,8.63,<1,4,10,82.9,0.84,1.34,7.6,28,4.29,7383,<1,0.56,7,0.03,14,0.04,<5,1.1,<10,131,0.03,8,<10,8.7,19,17.4,-,-,-
PAL01808,0.84,0.84,-,-,-,-,-,-,-,-,-,-,<2,2.10,6,165,0.6,<5,12.5,<1,5,14,29.8,0.77,0.67,11.8,23,3.53,6632,<1,0.47,11,0.03,7,0.03,<5,1.7,<10,446,0.06,15,<10,10.5,15,26.2,-,-,-
PAL01809,0.65,0.65,500.0,75.80,24.20,379.0,121.0,20.0,86.50,13.50,17.3,2.7,<2,2.95,<3,272,0.7,<5,8.75,<1,7,8,14.6,0.96,0.87,10.3,28,4.67,5801,<1,0.59,15,0.02,12,0.03,<5,1.3,<10,681,0.04,12,<10,9.4,22,23.6,-,-,-
PAL01810,0.51,0.51,-,-,-,-,-,-,-,-,-,-,<2,2.20,6,165,0.7,<5,10.1,<1,5,21,12.1,1.07,0.57,14.5,29,4.22,4158,<1,0.40,12,0.04,7,0.02,<5,2.3,<10,204,0.08,20,<10,11.1,21,32.1,-,-,-
PAL01811,0.81,0.81,-,-,-,-,-,-,-,-,-,-,<2,2.55,5,254,0.6,<5,9.53,<1,6,20,10.3,1.15,0.77,11.8,28,4.08,6331,<1,0.63,10,0.03,22,0.03,<5,2.1,<10,470,0.07,17,<10,13.6,24,27.7,-,-,-
PAL01812,0.46,0.46,-,-,-,-,-,-,-,-,-,-,<2,3.77,4,546,1.1,<5,4.50,<1,7,22,12.9,2.29,1.16,20.3,40,1.38,1606,<1,0.80,17,0.03,12,0.04,<5,2.4,<10,177,0.07,19,<10,19.0,37,49.9,-,-,-
PAL01813,1.30,1.30,-,-,-,-,-,-,-,-,-,-,<2,9.01,4,396,1.7,<5,2.10,<1,15,84,2.0,5.92,2.26,32.3,61,1.57,897,<1,1.22,51,0.06,7,0.04,12,17.0,<10,117,0.49,125,<10,22.0,89,129,-,-,-
PAL01814,1.23,1.23,-,-,-,-,-,-,-,-,-,-,<2,8.89,7,454,2.6,<5,0.91,<1,19,74,3.2,6.24,2.49,37.3,67,1.20,960,<1,0.66,55,0.06,7,0.02,6,14.5,<10,191,0.35,108,<10,15.1,106,90.0,-,-,-
PAL01815,1.18,1.18,-,-,-,-,-,-,-,-,-,-,<2,9.47,9,385,2.6,<5,0.36,<1,19,63,3.9,5.62,2.65,31.1,67,0.98,947,<1,0.61,51,0.04,6,0.01,7,15.0,<10,170,0.28,98,<10,13.1,89,83.5,-,-,-
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<5,<0.001,<0.001
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,<2,0.02,<3,<1,<0.5,<5,<0.01,<1,<1,<1,<0.5,<0.01,<0.01,<0.5,<1,<0.01,<2,<1,<0.01,<1,<0.01,<2,<0.01,<5,<0.5,<10,<0.5,<0.01,<2,<10,<0.5,<1,<0.5,-,-,-
*STD-OREAS-925,-,-,-,-,-,-,-,-,-,-,-,-,2,7.18,10,415,1.9,23,0.46,<1,22,72,6330,7.03,2.37,44.1,31,1.76,985,<1,0.26,33,0.06,103,0.91,<5,11.5,12,37.4,0.35,83,<10,23.7,442,107,-,-,-
*REP-PAL01698,-,-,-,-,-,-,-,-,-,-,-,-,<2,4.18,14,346,0.8,<5,2.08,<1,11,28,6.7,2.22,1.89,12.6,31,0.89,910,2,0.93,26,0.04,10,0.16,<5,4.8,<10,119,0.16,38,<10,9.7,34,48.6,-,-,-
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,<2,<0.01,<3,1,<0.5,<5,0.01,<1,<1,<1,0.7,<0.01,<0.01,<0.5,<1,<0.01,<2,<1,<0.01,<1,<0.01,<2,0.02,<5,<0.5,<10,<0.5,<0.01,<2,<10,<0.5,<1,<0.5,-,-,-
*STD-OREAS-211,-,-,-,-,-,-,-,-,-,-,-,-,<2,6.77,44,185,<0.5,<5,6.41,<1,41,96,167,7.87,0.38,5.4,10,3.72,1315,1,1.98,75,0.05,18,0.31,<5,39.8,<10,128,0.65,291,20,21.8,128,50.6,-,-,-
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,<2,<0.01,<3,<1,<0.5,<5,<0.01,<1,<1,<1,<0.5,<0.01,<0.01,<0.5,<1,<0.01,<2,<1,<0.01,<1,<0.01,<2,<0.01,<5,<0.5,<10,<0.5,<0.01,<2,<10,<0.5,<1,<0.5,-,-,-
*REP-PAL01728,-,-,-,-,-,-,-,-,-,-,-,-,<2,2.45,10,145,0.8,<5,>15,<1,4,21,12.5,0.99,0.94,12.5,40,0.62,2069,<1,0.11,18,0.02,64,0.81,<5,3.5,<10,456,0.10,26,<10,9.1,233,29.8,-,-,-
*STD-OREAS-607,-,-,-,-,-,-,-,-,-,-,-,-,6,6.81,200,2365,2.0,6,0.48,2,4,23,550,1.65,3.00,34.2,37,0.31,92,3,1.49,14,0.07,199,0.93,31,2.5,<10,213,0.15,21,<10,10.3,256,58.2,-,-,-
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,<2,<0.01,<3,<1,<0.5,<5,<0.01,<1,<1,1,<0.5,<0.01,<0.01,<0.5,<1,<0.01,<2,<1,0.01,<1,<0.01,<2,<0.01,<5,<0.5,<10,<0.5,<0.01,<2,<10,<0.5,<1,<0.5,-,-,-
*REP-PAL01752,-,-,-,-,-,-,-,-,-,-,-,-,<2,3.19,21,844,0.9,<5,2.18,<1,2,9,39.5,0.51,2.15,9.6,36,0.20,728,1,0.59,8,0.03,13,0.03,<5,1.8,<10,126,0.06,13,<10,8.5,16,33.1,-,-,-
*STD-OREAS-601B,-,-,-,-,-,-,-,-,-,-,-,-,>10,6.97,291,3487,1.9,13,0.82,2,3,21,1028,2.33,2.42,34.3,24,0.10,212,4,1.80,9,0.03,312,1.46,26,3.2,<10,254,0.13,12,<10,11.4,319,185,-,-,-
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,<2,<0.01,<3,<1,<0.5,<5,<0.01,<1,<1,<1,<0.5,<0.01,<0.01,<0.5,<1,<0.01,<2,<1,<0.01,<1,<0.01,<2,<0.01,<5,<0.5,<10,<0.5,<0.01,<2,<10,<0.5,1,<0.5,-,-,-
*REP-PAL01779,-,-,-,-,-,-,-,-,-,-,-,-,<2,2.26,11,1104,0.7,<5,14.3,11,3,12,12.7,1.05,0.82,11.7,34,8.63,8310,<1,0.17,15,0.02,757,0.34,<5,2.9,<10,180,0.09,19,<10,7.1,2994,28.3,-,-,-
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,<2,<0.01,<3,<1,<0.5,<5,<0.01,<1,<1,<1,<0.5,<0.01,<0.01,<0.5,<1,<0.01,<2,<1,<0.01,<1,<0.01,<2,<0.01,<5,<0.5,<10,<0.5,<0.01,<2,<10,<0.5,<1,<0.5,-,-,-
*STD-OREAS-925,-,-,-,-,-,-,-,-,-,-,-,-,2,7.45,9,397,1.9,22,0.43,<1,22,65,6297,7.08,2.42,44.1,35,1.69,1012,<1,0.26,31,0.06,112,0.92,<5,11.8,14,35.3,0.36,83,<10,24.1,448,108,-,-,-
*STD-OREAS-211,-,-,-,-,-,-,-,-,-,-,-,-,<2,7.05,44,190,<0.5,<5,6.26,<1,44,94,162,8.06,0.38,5.2,11,3.64,1329,1,1.95,75,0.04,16,0.30,<5,40.4,<10,123,0.64,282,18,21.8,126,51.3,-,-,-
*REP-PAL01810,-,-,-,-,-,-,-,-,-,-,-,-,<2,2.01,<3,159,0.6,<5,9.93,<1,5,21,10.4,1.05,0.56,11.6,29,4.16,4080,<1,0.39,12,0.04,7,0.03,<5,2.3,<10,198,0.07,20,<10,10.6,19,29.1,-,-,-
*STD-OREAS-135B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,0.01,2.75
*REP-PAL01698,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-133A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*REP-PAL01728,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-929,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,2.01,0.05
*REP-PAL01752,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*REP-PAL01779,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-317,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-605B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*REP-PAL01810,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
