BATCH NO: 1.1 (PAL01,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50]
PAL01623,0.52,0.52,-,-,-,-,-,-,-,-,-,-,<2,3.91,22,247,1.5,<5,>15,<1,10,24,380,1.34,1.49,16.2,72,0.77,2081,3,0.43,29,0.03,19,0.43,<5,5.6,<10,1859,0.15,36,<10,12.7,32,45.1,-,-
PAL01624,0.60,0.60,-,-,-,-,-,-,-,-,-,-,<2,4.32,15,169,1.7,<5,>15,<1,7,25,326,1.38,1.62,18.4,80,0.85,2248,<1,0.52,29,0.03,30,0.25,5,6.4,<10,874,0.17,37,<10,15.0,34,56.6,-,-
PAL01625,0.63,0.63,-,-,-,-,-,-,-,-,-,-,<2,5.98,16,169,2.4,<5,>15,<1,8,42,654,1.85,2.38,23.2,108,0.99,1899,<1,0.58,39,0.04,29,0.25,<5,8.5,<10,256,0.23,56,<10,16.2,49,69.5,-,-
PAL01626,0.45,0.45,-,-,-,-,-,-,-,-,-,-,<2,5.88,21,170,2.3,<5,14.7,<1,10,39,679,1.83,2.25,24.8,101,0.92,1852,<1,0.66,42,0.04,14,0.31,<5,8.3,<10,230,0.23,54,<10,16.6,63,75.1,-,-
PAL01627,0.41,0.41,-,-,-,-,-,-,-,-,-,-,<2,6.40,15,201,2.6,<5,12.8,<1,8,36,310,2.01,2.48,27.5,108,0.99,1798,<1,0.71,42,0.05,15,0.23,<5,9.1,<10,234,0.26,62,<10,18.8,67,83.5,-,-
PAL01628,0.52,0.52,-,-,-,-,-,-,-,-,-,-,<2,7.07,8,226,2.5,<5,10.0,<1,6,29,364,2.10,2.62,33.2,113,1.02,1628,<1,0.89,42,0.05,13,0.11,<5,9.8,<10,182,0.28,62,<10,21.1,90,101,-,-
PAL01629,0.67,0.67,-,-,-,-,-,-,-,-,-,-,<2,7.40,42,743,2.6,<5,6.55,<1,8,39,749,2.18,2.71,33.0,107,2.12,1978,<1,0.99,42,0.05,458,0.67,5,10.1,<10,798,0.31,68,<10,18.9,111,110,-,-
PAL01630,0.41,0.41,-,-,-,-,-,-,-,-,-,-,5,4.64,46,639,1.8,<5,12.7,<1,6,24,3211,2.23,1.79,19.2,72,5.42,3729,<1,0.53,26,0.04,18,2.41,<5,6.6,<10,667,0.18,53,<10,12.0,44,57.6,-,-
PAL01631,0.29,0.29,500.0,81.00,19.00,405.0,95.0,20.0,85.50,14.50,17.1,2.9,>10,4.83,85,670,1.8,<5,11.2,<1,17,41,>10000,2.64,1.67,22.5,73,5.12,3630,3,0.63,44,0.03,22,1.59,<5,7.0,<10,1661,0.18,76,<10,14.5,85,64.5,17,1.43
PAL01632,0.54,0.54,-,-,-,-,-,-,-,-,-,-,>10,4.11,113,157,1.7,<5,>15,<1,35,55,>10000,1.89,1.49,29.0,60,2.35,4119,21,0.50,68,0.03,40,1.39,8,6.0,<10,390,0.17,167,<10,18.6,109,59.4,31,1.54
