BATCH NO: 1.1 (PAL01,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50],Pb_pct[AAS42S|LDL:0.002|UDL:2.5],Zn_pct[AAS42S|LDL:0.001|UDL:5]
PAL01307,1.00,1.00,-,-,-,-,-,-,-,-,-,-,<2,4.61,5,751,1.1,<5,2.03,<1,1,13,57.9,0.59,2.66,11.1,29,0.31,711,<1,0.80,4,0.03,21,0.03,<5,1.8,<10,136,0.07,17,<10,8.4,16,45.5,-,-,-,-
PAL01308,0.98,0.98,-,-,-,-,-,-,-,-,-,-,<2,4.38,5,727,0.9,<5,3.24,<1,2,9,29.9,0.86,2.62,10.8,23,1.13,1733,<1,0.66,5,0.03,16,0.02,<5,1.1,<10,153,0.04,11,<10,10.0,18,31.7,-,-,-,-
PAL01309,0.98,0.98,-,-,-,-,-,-,-,-,-,-,<2,4.14,5,693,0.9,<5,4.67,<1,<1,12,27.5,0.41,2.46,10.4,28,0.22,1100,<1,0.63,4,0.03,13,0.02,<5,1.3,<10,141,0.04,10,<10,9.8,9,37.8,-,-,-,-
PAL01310,0.41,0.41,-,-,-,-,-,-,-,-,-,-,<2,4.25,5,889,0.8,<5,3.76,<1,2,5,31.7,0.82,2.60,7.9,31,0.35,971,<1,0.61,4,0.03,21,0.04,<5,1.0,<10,163,0.03,7,<10,8.5,15,22.4,-,-,-,-
PAL01311,0.47,0.47,-,-,-,-,-,-,-,-,-,-,<2,4.34,6,1007,0.8,<5,2.95,<1,2,5,36.6,0.69,2.69,7.7,35,0.36,712,<1,0.61,4,0.03,14,0.04,<5,0.9,<10,172,0.03,7,<10,7.9,15,25.8,-,-,-,-
PAL01312,0.73,0.73,-,-,-,-,-,-,-,-,-,-,<2,4.66,6,557,1.0,<5,5.22,<1,2,5,21.8,0.69,2.49,12.6,29,0.25,843,<1,0.91,6,0.04,14,0.04,<5,1.6,<10,134,0.05,10,<10,10.2,32,34.1,-,-,-,-
PAL01313,0.91,0.91,-,-,-,-,-,-,-,-,-,-,<2,3.66,4,479,0.9,<5,6.69,<1,2,8,10.0,0.53,1.87,14.0,24,0.20,877,<1,0.87,7,0.03,14,0.02,<5,2.4,<10,128,0.07,13,<10,11.2,44,39.9,-,-,-,-
PAL01314,1.00,1.00,-,-,-,-,-,-,-,-,-,-,<2,3.71,4,352,1.0,<5,7.57,<1,2,9,9.9,0.57,1.86,14.6,24,0.16,948,<1,0.86,6,0.03,42,0.01,<5,2.2,<10,122,0.08,14,<10,12.3,15,39.2,-,-,-,-
*DUP-PAL01314,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,3.91,4,363,1.0,<5,7.82,<1,2,7,8.9,0.58,1.95,14.7,25,0.17,973,<1,0.94,6,0.03,41,0.02,<5,2.2,<10,131,0.06,14,<10,12.0,16,38.5,-,-,-,-
PAL01315,1.38,1.38,-,-,-,-,-,-,-,-,-,-,<2,0.63,<3,18,<0.5,<5,>15,<1,<1,3,1.2,0.50,0.18,4.3,11,12.0,771,<1,0.06,1,<0.01,5,0.03,<5,0.6,<10,32.9,<0.01,<2,<10,3.4,36,11.5,-,-,-,-
