BATCH NO: 1.1 (PAL01,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50]
PAL01562,0.92,0.92,-,-,-,-,-,-,-,-,-,-,<2,4.74,<3,181,0.6,<5,3.81,<1,6,41,131,1.20,1.09,11.7,66,1.71,1797,3,1.24,19,0.04,14,0.09,<5,7.0,<10,105,0.22,61,<10,14.8,23,44.8,-,-
PAL01563,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,5.01,<3,179,0.7,<5,4.04,<1,6,33,121,1.27,1.14,11.5,69,1.83,1892,3,1.34,20,0.05,16,0.10,<5,7.4,<10,106,0.23,65,<10,15.8,25,49.8,-,-
PAL01564,2.22,2.22,-,-,-,-,-,-,-,-,-,-,<2,5.01,7,368,0.8,<5,3.44,<1,7,56,38.1,2.62,1.26,11.3,76,1.07,1095,1,1.14,25,0.05,11,0.16,<5,7.9,<10,149,0.24,61,<10,10.5,21,49.0,-,-
PAL01565,2.04,2.04,-,-,-,-,-,-,-,-,-,-,<2,5.40,11,302,0.8,<5,4.86,<1,8,58,24.9,2.82,1.36,13.2,85,0.92,723,2,1.28,25,0.05,11,0.11,<5,8.2,<10,154,0.24,66,<10,9.1,17,49.8,-,-
PAL01566,2.17,2.17,-,-,-,-,-,-,-,-,-,-,<2,5.08,11,229,0.8,<5,4.52,<1,10,54,16.4,3.03,1.26,13.5,85,0.97,759,1,1.17,27,0.05,9,0.03,<5,7.4,<10,141,0.22,60,<10,8.9,16,47.1,-,-
PAL01567,2.10,2.10,-,-,-,-,-,-,-,-,-,-,<2,4.86,10,229,0.7,<5,5.17,<1,8,45,23.9,2.88,1.11,11.3,85,0.86,770,2,1.21,22,0.05,15,0.04,<5,7.7,<10,130,0.21,61,<10,9.3,16,42.4,-,-
PAL01568,1.75,1.75,-,-,-,-,-,-,-,-,-,-,<2,5.47,14,235,0.9,<5,4.57,<1,8,56,17.2,3.07,1.37,14.6,95,0.70,638,2,1.32,24,0.05,9,0.02,<5,8.0,<10,136,0.24,69,<10,8.7,14,49.6,-,-
*DUP-PAL01568,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,5.24,12,217,0.8,<5,4.34,<1,8,57,18.1,2.92,1.30,13.5,89,0.66,599,2,1.26,23,0.05,9,0.03,<5,7.6,<10,128,0.23,65,<10,8.2,12,45.4,-,-
PAL01569,2.01,2.01,500.0,76.80,23.20,384.0,116.0,20.0,89.00,11.00,17.8,2.2,<2,5.11,9,191,0.8,<5,3.97,<1,9,46,8.2,2.92,1.18,11.3,94,0.69,612,1,1.28,22,0.05,6,0.02,<5,8.0,<10,115,0.23,64,<10,7.9,13,44.4,-,-
PAL01570,2.01,2.01,-,-,-,-,-,-,-,-,-,-,<2,5.11,10,221,0.8,<5,5.20,<1,9,52,16.2,3.31,1.20,12.3,101,0.70,720,2,1.28,24,0.05,9,0.02,<5,7.9,<10,128,0.23,65,<10,9.8,13,45.0,-,-
PAL01571,2.31,2.31,-,-,-,-,-,-,-,-,-,-,<2,4.90,9,230,0.7,<5,5.29,<1,9,48,12.1,2.89,1.17,12.0,95,0.68,690,2,1.20,22,0.04,11,0.03,<5,7.7,<10,125,0.22,61,<10,9.5,13,45.5,-,-
PAL01572,1.98,1.98,-,-,-,-,-,-,-,-,-,-,<2,4.79,13,225,0.7,<5,5.30,<1,8,38,13.1,2.93,1.13,12.0,95,0.61,698,2,1.23,24,0.05,12,0.02,<5,7.3,<10,127,0.21,60,<10,9.4,12,42.9,-,-
PAL01573,2.26,2.26,-,-,-,-,-,-,-,-,-,-,<2,4.67,8,229,0.8,<5,5.25,<1,9,41,10.4,2.72,1.19,13.5,87,0.65,678,1,1.13,23,0.04,21,0.02,<5,7.2,<10,131,0.19,58,<10,10.0,14,49.9,-,-
PAL01574,2.02,2.02,-,-,-,-,-,-,-,-,-,-,<2,4.58,8,269,0.7,<5,5.29,<1,9,51,5.3,2.78,1.10,10.2,93,0.62,748,2,1.11,25,0.04,7,0.02,<5,7.0,<10,126,0.20,57,<10,9.8,11,45.2,-,-
PAL01575,2.28,2.28,-,-,-,-,-,-,-,-,-,-,<2,4.48,7,301,0.6,<5,5.82,<1,8,40,5.6,2.50,0.98,9.4,95,0.54,775,<1,1.22,21,0.04,8,0.02,<5,6.7,<10,128,0.21,55,<10,9.9,10,42.8,-,-
PAL01576,2.16,2.16,-,-,-,-,-,-,-,-,-,-,<2,4.83,17,298,0.8,<5,5.62,<1,8,42,6.4,2.71,1.19,12.9,97,0.54,730,1,1.17,24,0.04,18,0.02,<5,7.6,<10,143,0.21,63,<10,10.3,13,43.4,-,-
PAL01577,2.01,2.01,-,-,-,-,-,-,-,-,-,-,<2,4.73,12,288,0.8,<5,4.75,<1,8,39,6.6,2.50,1.15,11.6,84,0.65,966,1,1.21,21,0.04,10,0.03,<5,7.5,<10,137,0.20,61,<10,9.7,12,41.9,-,-
PAL01578,2.20,2.20,-,-,-,-,-,-,-,-,-,-,<2,4.87,15,279,0.8,<5,4.87,<1,8,44,6.4,2.82,1.18,12.7,96,0.53,673,1,1.21,22,0.04,6,0.01,<5,7.7,<10,138,0.21,62,<10,9.2,11,42.9,-,-
PAL01579,2.17,2.17,-,-,-,-,-,-,-,-,-,-,<2,4.65,9,276,0.6,<5,4.77,<1,8,50,6.9,2.44,1.03,9.7,102,0.52,680,1,1.26,21,0.04,9,0.01,<5,6.7,<10,126,0.21,58,<10,8.9,11,41.8,-,-
PAL01580,2.06,2.06,-,-,-,-,-,-,-,-,-,-,<2,4.42,8,228,0.6,<5,5.03,<1,8,39,4.3,2.79,1.04,9.7,101,0.52,778,1,1.13,20,0.04,7,0.01,6,6.7,<10,117,0.19,58,<10,9.7,10,41.2,-,-
PAL01581,1.43,1.43,-,-,-,-,-,-,-,-,-,-,<2,4.13,8,240,0.5,<5,6.07,<1,7,38,4.7,2.37,0.91,9.3,98,0.52,814,1,1.16,18,0.04,7,0.01,<5,6.8,<10,117,0.18,51,<10,10.3,10,39.4,-,-
PAL01582,2.72,2.72,-,-,-,-,-,-,-,-,-,-,<2,0.90,5,56,<0.5,<5,>15,<1,2,8,3.7,0.41,0.36,4.1,16,0.44,45,<1,0.07,6,<0.01,6,>5,<5,1.3,<10,3306,0.04,10,<10,2.0,6,9.9,-,-
PAL01583,3.58,3.58,-,-,-,-,-,-,-,-,-,-,<2,0.58,<3,45,<0.5,<5,>15,<1,1,7,2.5,0.26,0.23,2.5,14,0.36,36,<1,0.06,4,<0.01,3,>5,<5,0.8,<10,2931,0.02,7,<10,1.2,4,6.1,-,-
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<5,<0.001
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,<2,<0.01,<3,<1,<0.5,<5,<0.01,<1,<1,<1,<0.5,<0.01,0.01,<0.5,<1,<0.01,<2,<1,<0.01,<1,<0.01,<2,0.01,<5,<0.5,<10,<0.5,<0.01,<2,<10,<0.5,<1,<0.5,-,-
*STD-OREAS-925,-,-,-,-,-,-,-,-,-,-,-,-,2,7.52,11,425,2.0,22,0.48,<1,24,72,5767,7.24,2.57,39.2,33,1.79,1026,<1,0.28,37,0.06,115,0.97,<5,12.3,14,35.8,0.38,86,<10,25.6,445,113,-,-
*REP-PAL01499,-,-,-,-,-,-,-,-,-,-,-,-,<2,4.23,16,1317,1.0,<5,4.37,<1,5,24,5.4,1.81,1.72,16.9,32,0.32,1111,<1,0.80,18,0.04,9,0.04,<5,4.3,<10,263,0.14,30,<10,13.9,15,47.9,-,-
*STD-OREAS-211,-,-,-,-,-,-,-,-,-,-,-,-,<2,6.87,42,192,<0.5,<5,6.30,<1,46,97,162,8.28,0.39,4.7,10,3.83,1372,1,2.07,75,0.04,17,0.31,<5,40.7,<10,127,0.67,283,19,22.7,113,54.6,-,-
*STD-OREAS-607,-,-,-,-,-,-,-,-,-,-,-,-,6,6.95,200,2415,2.0,7,0.48,2,4,23,556,1.69,3.04,33.8,39,0.32,97,3,1.49,16,0.07,213,0.98,31,2.9,<10,222,0.16,24,<10,9.6,255,60.8,-,-
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,<2,<0.01,<3,<1,<0.5,<5,0.01,<1,<1,<1,<0.5,<0.01,<0.01,<0.5,<1,<0.01,<2,<1,<0.01,<1,<0.01,<2,<0.01,<5,<0.5,<10,<0.5,<0.01,<2,<10,<0.5,1,<0.5,-,-
*REP-PAL01528,-,-,-,-,-,-,-,-,-,-,-,-,<2,6.73,8,365,1.3,<5,1.72,<1,15,98,12.0,3.24,1.59,22.5,53,1.41,574,<1,2.06,59,0.06,7,<0.01,8,10.9,<10,214,0.40,77,<10,7.3,57,62.8,-,-
*STD-OREAS-601B,-,-,-,-,-,-,-,-,-,-,-,-,>10,6.55,266,997,1.9,10,0.85,2,3,23,989,2.19,2.32,32.1,26,0.10,216,4,1.86,8,0.03,306,1.54,24,3.2,<10,235,0.12,11,<10,9.8,299,181,-,-
*REP-PAL01553,-,-,-,-,-,-,-,-,-,-,-,-,<2,5.72,10,216,1.9,<5,8.83,<1,11,44,314,2.02,2.10,25.3,59,3.72,3047,<1,0.55,31,0.05,57,2.60,<5,7.6,<10,621,0.23,56,<10,12.0,29,81.2,-,-
*STD-OREAS-925,-,-,-,-,-,-,-,-,-,-,-,-,3,6.93,11,427,1.9,26,0.46,<1,23,70,6013,7.15,2.56,38.3,32,1.77,1024,<1,0.27,36,0.06,115,0.90,<5,12.6,14,38.7,0.37,84,<10,22.3,448,110,-,-
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,<2,<0.01,<3,<1,<0.5,<5,<0.01,<1,<1,<1,<0.5,<0.01,<0.01,<0.5,<1,<0.01,<2,<1,<0.01,<1,<0.01,<2,<0.01,<5,<0.5,<10,<0.5,<0.01,<2,<10,<0.5,<1,<0.5,-,-
*STD-OREAS-211,-,-,-,-,-,-,-,-,-,-,-,-,<2,6.83,39,182,<0.5,<5,6.43,<1,42,94,166,8.05,0.40,4.8,11,3.55,1411,1,2.08,77,0.04,17,0.30,<5,41.3,<10,131,0.63,271,20,21.0,117,50.2,-,-
*REP-PAL01581,-,-,-,-,-,-,-,-,-,-,-,-,<2,4.09,9,230,0.6,<5,6.00,<1,7,36,4.0,2.34,0.91,9.5,98,0.52,807,1,1.16,18,0.04,8,0.01,<5,6.7,<10,117,0.18,52,<10,10.3,10,37.4,-,-
*STD-OREAS-135B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,0.01
*REP-PAL01499,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-133A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-929,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,2.01
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*REP-PAL01528,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*REP-PAL01553,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-317,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-605B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*REP-PAL01581,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
