fid,HoleID,From,To,SampleID,Length_mm,Cu_pc,mid_x,mid_y,mid_z,PROJECTCOD,PNTPROSPC,HOLEID,SAMPLEID,SAMPLETYPE,SapSubType,Point_Type,SF_Observe,WGS84_CALX,WGS84_CALY,WGS84_CALZ,CoordSurv,SurvInstr,SampleDate,SAMPLEDBY,Lith1,Lith2,LT_Color1,LT_Color2,Lith_Desc,Alt_Assbl1,Alt1,Alt2,Alt3,Alt_Desc,MN_Miner_1,MN_Miner_2,MN_Miner_3,Min_Desc,Lab_L_D,Dsptch_L_D,SmpDspDate,Labjobno,SmpRetDate,AnalysisLD,GenerMeth,SampWt_g_D,RecvdWt_g,Ag_ppm,Ag_ppm_GMD,Ag_ppm_LDD,Ag_ppm_UDD,Co_ppm,Co_ppm_GMD,Co_ppm_LDD,Co_ppm_UDD,Cu_ppm,Cu_ppm_GMD,Cu_ppm_LDD,Cu_ppm_UDD,Fe_pct,Fe_pct_GMD,Fe_pct_LDD,Fe_pct_UDD,Ni_ppm,Ni_ppm_GMD,Ni_ppm_LDD,Ni_ppm_UDD,Pb_ppm,Pb_ppm_GMD,Pb_ppm_LDD,Pb_ppm_UDD,Zn_ppm,Zn_ppm_GMD,Zn_ppm_LDD,Zn_ppm_UDD
226,Ro17,477.113,477.223,,110,0.014,4348766.65,5646242.45,-172.3547081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-172.3547081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,142,,,,,,,,,,,,164,,,,49,,,
227,Ro17,477.223,477.371,,148,0.02,4348766.65,5646242.45,-172.4837081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-172.4837081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,204,,,,,,,,,,,,167,,,,56,,,
228,Ro17,477.371,477.471,,100,0.022,4348766.65,5646242.45,-172.6077081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-172.6077081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,223,,,,,,,,,,,,199,,,,50,,,
229,Ro17,477.471,477.62,,149,0.022,4348766.65,5646242.45,-172.7322081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-172.7322081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,220,,,,,,,,,,,,234,,,,47,,,
230,Ro17,477.62,477.768,,148,0.028,4348766.65,5646242.45,-172.8807081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-172.8807081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,283,,,,,,,,,,,,211,,,,41,,,
231,Ro17,477.768,477.848,,80,0.02,4348766.65,5646242.45,-172.9947081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-172.9947081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,202,,,,,,,,,,,,129,,,,41,,,
232,Ro17,477.848,477.94,,92,0.018,4348766.65,5646242.45,-173.0807081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-173.0807081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,181,,,,,,,,,,,,83,,,,37,,,
233,Ro17,478.13,478.143,,13,0.664,4348766.65,5646242.45,-173.3232081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-173.3232081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6644,,,,,,,,,,,,141,,,,189,,,
234,Ro17,478.143,478.183,,40,0.156,4348766.65,5646242.45,-173.3497081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-173.3497081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1561,,,,,,,,,,,,83,,,,34,,,
235,Ro17,478.183,478.229,,46,0.021,4348766.65,5646242.45,-173.3927081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-173.3927081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,214,,,,,,,,,,,,71,,,,42,,,
